year_month,view,cart,purchase,cr_view_cart,cr_cart_purch,cr_view_purch,type
2019 - 10,388331,133818,25762,34.46,19.25,6.63,users
2019 - 11,355643,95939,31524,26.98,32.86,8.86,users
2019 - 12,358212,83458,25613,23.3,30.69,7.15,users
2020 - 1,397775,92653,28220,23.29,30.46,7.09,users
2020 - 2,379246,89269,25759,23.54,28.86,6.79,users
2019 - 10,1862050,1204218,245281,64.67,20.37,13.17,actions
2019 - 11,2075993,1289632,322269,62.12,24.99,15.52,actions
2019 - 12,1728221,911641,213066,52.75,23.37,12.33,actions
2020 - 1,2037501,1128662,263605,55.39,23.36,12.94,actions
2020 - 2,1953025,1118838,241881,57.29,21.62,12.38,actions
