lt,year_month,user_id,first_day,rt
1,2019 - 10,15606,388331,4.02
1,2019 - 11,11962,305079,3.92
1,2019 - 12,10417,292312,3.56
1,2020 - 1,11850,321500,3.69
1,2020 - 2,10496,291847,3.6
2,2019 - 10,11159,388331,2.87
2,2019 - 11,8650,305079,2.84
2,2019 - 12,7155,292312,2.45
2,2020 - 1,8195,321500,2.55
2,2020 - 2,7336,291847,2.51
3,2019 - 10,9129,388331,2.35
3,2019 - 11,7102,305079,2.33
3,2019 - 12,5844,292312,2.0
3,2020 - 1,6785,321500,2.11
3,2020 - 2,5702,291847,1.95
4,2019 - 10,7897,388331,2.03
4,2019 - 11,6176,305079,2.02
4,2019 - 12,5029,292312,1.72
4,2020 - 1,5717,321500,1.78
4,2020 - 2,5097,291847,1.75
5,2019 - 10,7249,388331,1.87
5,2019 - 11,5645,305079,1.85
5,2019 - 12,4545,292312,1.55
5,2020 - 1,5124,321500,1.59
5,2020 - 2,4732,291847,1.62
6,2019 - 10,6962,388331,1.79
6,2019 - 11,5400,305079,1.77
6,2019 - 12,4469,292312,1.53
6,2020 - 1,4531,321500,1.41
6,2020 - 2,4603,291847,1.58
7,2019 - 10,6350,388331,1.64
7,2019 - 11,4694,305079,1.54
7,2019 - 12,4034,292312,1.38
7,2020 - 1,4198,321500,1.31
7,2020 - 2,4078,291847,1.4
8,2019 - 10,5553,388331,1.43
8,2019 - 11,4341,305079,1.42
8,2019 - 12,3627,292312,1.24
8,2020 - 1,3701,321500,1.15
8,2020 - 2,3512,291847,1.2
9,2019 - 10,4919,388331,1.27
9,2019 - 11,3759,305079,1.23
9,2019 - 12,3309,292312,1.13
9,2020 - 1,3446,321500,1.07
9,2020 - 2,3307,291847,1.13
10,2019 - 10,4413,388331,1.14
10,2019 - 11,3600,305079,1.18
10,2019 - 12,3091,292312,1.06
10,2020 - 1,3316,321500,1.03
10,2020 - 2,3160,291847,1.08
11,2019 - 10,4339,388331,1.12
11,2019 - 11,3617,305079,1.19
11,2019 - 12,3065,292312,1.05
11,2020 - 1,3103,321500,0.97
11,2020 - 2,3010,291847,1.03
12,2019 - 10,4201,388331,1.08
12,2019 - 11,3544,305079,1.16
12,2019 - 12,2939,292312,1.01
12,2020 - 1,2973,321500,0.92
12,2020 - 2,3027,291847,1.04
13,2019 - 10,4188,388331,1.08
13,2019 - 11,3744,305079,1.23
13,2019 - 12,2933,292312,1.0
13,2020 - 1,2905,321500,0.9
13,2020 - 2,3003,291847,1.03
14,2019 - 10,4078,388331,1.05
14,2019 - 11,3681,305079,1.21
